u,v,weight
ABHD16A,RAD54L,1.0
ABHD16A,RNF5,1.0
ABHD16A,SAFB,1.0
ABHD16A,SPAG7,1.0
ABHD16A,TMEM147,1.0
ABHD16A,TMEM222,1.0
ABHD16A,UPF1,1.0
ABHD2,QKI,1.0
ABHD5,PLIN1,1.0
ABHD5,PLIN2,1.0
ABI1,ABL1,1.0
ABI1,ABL2,1.0
ABI1,APBB1,1.0
ABI1,BAIAP2,1.0
ABI1,CAMK2A,1.0
ABI1,CBL,1.0
ABI1,CBLB,1.0
ABI1,CBLC,1.0
ABI1,CENPF,1.0
ABI1,CRK,1.0
ABI1,CRKL,1.0
ABI1,CYFIP1,1.0
ABI1,CYFIP2,1.0
ABI1,DLGAP4,1.0
ABI1,ENAH,1.0
ABI1,EPS8,1.0
ABI1,EPS8L1,1.0
ABI1,EPS8L2,1.0
ABI1,EPS8L3,1.0
ABI1,EVL,1.0
ABI1,FAM109A,1.0
ABI1,FER,1.0
ABI1,FES,1.0
ABI1,FGR,1.0
ABI1,FNBP1,1.0
ABI1,FRK,1.0
ABI1,FYN,1.0
ABI1,GAS7,1.0
ABI1,GRB10,1.0
ABI1,GRB2,1.0
ABI1,HCK,1.0
ABI1,HSPA8,1.0
ABI1,INPPL1,1.0
ABI1,ITK,1.0
ABI1,LCK,1.0
ABI1,LYN,1.0
ABI1,MINK1,1.0
ABI1,NCF1,1.0
ABI1,NCK1,1.0
ABI1,NCK2,1.0
ABI1,NCKAP1,1.0
ABI1,NEB,1.0
ABI1,NIN,1.0
ABI1,PACSIN2,1.0
ABI1,PAK2,1.0
ABI1,PIK3R1,1.0
ABI1,PIK3R2,1.0
ABI1,PIK3R3,1.0
ABI1,PLCG1,1.0
ABI1,PRKAA1,1.0
ABI1,PRPF40A,1.0
ABI1,PRRC2A,1.0
ABI1,RASA1,1.0
ABI1,RBM3,1.0
ABI1,SLC25A25,1.0
ABI1,SOCS7,1.0
ABI1,SOS1,1.0
ABI1,SOS2,1.0
ABI1,SPTA1,1.0
ABI1,SPTAN1,1.0
ABI1,SRC,1.0
ABI1,STX4,1.0
ABI1,TCERG1,1.0
ABI1,TPM1,1.0
ABI1,VASP,1.0
ABI1,VAV1,1.0
ABI1,VAV2,1.0
ABI1,WASF1,1.0
ABI1,WASF2,1.0
ABI1,WASL,1.0
ABI1,YES1,1.0
ABI1,YLPM1,1.0
ABI2,ABL1,1.0
ABI2,ADAM19,1.0
ABI2,ADAM22,1.0
ABI2,ADAM29,1.0
ABI2,CCDC53,1.0
ABI2,DTNB,1.0
ABI2,ENAH,1.0
ABI2,IFT20,1.0
ABI2,KRT15,1.0
ABI2,KRT19,1.0
ABI2,KRT20,1.0
ABI2,NCK2,1.0
ABI2,PCM1,1.0
ABI2,RAC1,1.0
ABI2,RAPSN,1.0
ABI2,SH3KBP1,1.0
ABI2,SNAP23,1.0
ABI2,TRAF3IP1,1.0
ABI2,TRIM32,1.0
ABI2,UBC,1.0
ABI2,VCL,1.0
ABI2,VPS37C,1.0
ABI2,WASF1,1.0
ABI3,ABI3BP,1.0
ABI3,AKT2,1.0
ABI3,CEP170,1.0
ABI3,CEP44,1.0
ABI3,CYFIP2,1.0
ABI3,DAZAP2,1.0
ABI3,DTNBP1,1.0
ABI3,DUSP6,1.0
ABI3,EIF3H,1.0
ABI3,ENAH,1.0
ABI3,HOMER1,1.0
ABI3,HOMER3,1.0
ABI3,KIAA0408,1.0
ABI3,KRT15,1.0
ABI3,KRT19,1.0
ABI3,PAK1,1.0
ABI3,PAK2,1.0
ABI3,PLDN,1.0
ABI3,RUNX1T1,1.0
ABI3,SNAP23,1.0
ABI3,SOS1,1.0
ABI3,TMEM147,1.0
ABI3,WASF2,1.0
ABI3BP,GRB2,1.0
ABL1,ABL2,1.0
ABL1,ABR,1.0
ABL1,ACAP1,1.0
ABL1,ADAM15,1.0
ABL1,AHSG,1.0
ABL1,AIRE,1.0
ABL1,AKAP6,1.0
ABL1,APOL5,1.0
ABL1,ARHGAP17,1.0
ABL1,ARHGEF11,1.0
ABL1,ASAP1,1.0
ABL1,ASB16,1.0
ABL1,ATM,1.0
ABL1,ATR,1.0
ABL1,BAZ2A,1.0
ABL1,BCAR1,1.0
ABL1,BCL2L1,1.0
ABL1,BCR,1.0
ABL1,BMP8B,1.0
ABL1,BRCA1,1.0
ABL1,BRCA2,1.0
ABL1,BRPF3,1.0
ABL1,BTK,1.0
ABL1,C20orf46,1.0
ABL1,C3,1.0
ABL1,C6,1.0
ABL1,CABLES2,1.0
ABL1,CAST,1.0
ABL1,CAT,1.0
ABL1,CBL,1.0
ABL1,CCKBR,1.0
ABL1,CD2AP,1.0
ABL1,CDC27,1.0
ABL1,CDKL5,1.0
ABL1,CDON,1.0
ABL1,CELSR3,1.0
ABL1,CENPA,1.0
ABL1,CHRD,1.0
ABL1,CKAP5,1.0
ABL1,CNTFR,1.0
ABL1,CNTNAP1,1.0
ABL1,COBRA1,1.0
ABL1,CREB1,1.0
ABL1,CRK,1.0
ABL1,CRKL,1.0
ABL1,CSMD2,1.0
ABL1,CTAGE5,1.0
ABL1,CTNNB1,1.0
ABL1,CTNND2,1.0
ABL1,CUL7,1.0
ABL1,CYP4F2,1.0
ABL1,DAAM1,1.0
ABL1,DDX41,1.0
ABL1,DKKL1,1.0
ABL1,DLGAP1,1.0
ABL1,DLGAP2,1.0
ABL1,DLGAP3,1.0
ABL1,DLGAP4,1.0
ABL1,DLX4,1.0
ABL1,DNASE1L2,1.0
ABL1,DNM1,1.0
ABL1,DNM2,1.0
ABL1,DNM3,1.0
ABL1,DOCK3,1.0
ABL1,DOK1,1.0
ABL1,DUSP15,1.0
ABL1,EFNA5,1.0
ABL1,EFS,1.0
ABL1,EGFR,1.0
ABL1,EPB41L3,1.0
ABL1,EPHA3,1.0
ABL1,EPHB2,1.0
ABL1,EPS15,1.0
ABL1,ERBB2,1.0
ABL1,ERBB3,1.0
ABL1,ERBB4,1.0
ABL1,EVL,1.0
ABL1,F2RL2,1.0
ABL1,FAM110A,1.0
ABL1,FLNA,1.0
ABL1,FLNC,1.0
ABL1,FOXF2,1.0
ABL1,FYB,1.0
ABL1,FYN,1.0
ABL1,G3BP2,1.0
ABL1,GABBR1,1.0
ABL1,GAD1,1.0
ABL1,GNS,1.0
ABL1,GPR45,1.0
ABL1,GPX1,1.0
ABL1,GRB10,1.0
ABL1,GRB2,1.0
ABL1,GRIN2D,1.0
ABL1,GRIP2,1.0
ABL1,GSTZ1,1.0
ABL1,GSX2,1.0
ABL1,GTF2IRD1,1.0
ABL1,GTF3A,1.0
ABL1,HCK,1.0
ABL1,HCN2,1.0
ABL1,HCN4,1.0
ABL1,HEXA,1.0
ABL1,HNRNPR,1.0
ABL1,HOXC8,1.0
ABL1,HSP90AA1,1.0
ABL1,HSPA4,1.0
ABL1,INPPL1,1.0
ABL1,ITGB2,1.0
ABL1,JAK1,1.0
ABL1,JUN,1.0
ABL1,KIFC2,1.0
ABL1,LIG3,1.0
