u,v,weight
DCTN6,DCTN2,1.0
DCTN6,KIF5A,1.0
DCTN6,DCTN4,1.0
DCTN6,KLC1,1.0
DCTN6,GOLGA2,1.0
DCTN6,ARFGAP2,1.0
DCTN6,ARF1,1.0
DCTN6,USO1,1.0
DCTN6,COPZ1,1.0
DCTN6,SPTB,1.0
DCTN6,DYNLL2,1.0
DCTN6,COPZ2,1.0
DCTN6,FKBP4,1.0
DCTN6,NR3C1,1.0
DCTN6,GALNT1,1.0
DCTN6,BICD1,1.0
DCTN6,RAB6B,1.0
DCTN6,RAB6A,1.0
DCTN6,PGR,1.0
DCTN6,HSP90AA1,1.0
DCTN6,BICD2,1.0
DCTN6,NR3C2,1.0
DCTN6,RAB3GAP2,1.0
DCTN6,GALNT2,1.0
DCTN6,HSP90AB1,1.0
DCTN6,AR,1.0
DCTN6,PAFAH1B1,1.0
DCTN6,RAB3GAP1,1.0
DCTN6,RAB18,1.0
DCTN6,PTGES3,1.0
DCTN6,CLIP1,1.0
DCTN6,DNAH3,1.0
DCTN6,DNAH8,1.0
DCTN6,DNAH1,1.0
DCTN6,DNAH5,1.0
DCTN6,DNAH6,1.0
BET1,YKT6,1.0
BET1,GOSR2,1.0
BET1,GOSR1,1.0
BET1,COPB1,1.0
BET1,ACTR10,1.0
BET1,ARF3,1.0
BET1,DYNC1LI2,1.0
BET1,COG3,1.0
BET1,KDELR2,1.0
BET1,DCTN3,1.0
BET1,TMED2,1.0
BET1,COPE,1.0
BET1,CAPZA1,1.0
BET1,ARFGAP3,1.0
BET1,NAPA,1.0
BET1,SPTBN4,1.0
BET1,ARCN1,1.0
BET1,ANK1,1.0
BET1,TMEM115,1.0
BET1,DYNC1LI1,1.0
BET1,ANK3,1.0
BET1,STX5,1.0
BET1,COG5,1.0
BET1,TMED3,1.0
BET1,COG1,1.0
BET1,DCTN5,1.0
BET1,TMED10,1.0
BET1,COG7,1.0
BET1,COG8,1.0
BET1,ARF4,1.0
BET1,RAB1B,1.0
BET1,GORASP1,1.0
BET1,ARFGAP1,1.0
BET1,COG4,1.0
BET1,SPTBN5,1.0
BET1,DYNC1I1,1.0
BET1,NAPG,1.0
BET1,COPG1,1.0
BET1,CAPZA3,1.0
BET1,COPB2,1.0
BET1,KDELR1,1.0
BET1,TMED9,1.0
BET1,DYNC1H1,1.0
BET1,SPTBN1,1.0
BET1,ANK2,1.0
BET1,DCTN1,1.0
BET1,CAPZA2,1.0
BET1,COG2,1.0
BET1,CD55,1.0
BET1,COPA,1.0
BET1,SPTA1,1.0
BET1,ACTR1A,1.0
BET1,GBF1,1.0
BET1,SPTAN1,1.0
BET1,BET1L,1.0
BET1,DYNLL1,1.0
BET1,GOLGB1,1.0
BET1,FOLR1,1.0
BET1,CD59,1.0
BET1,DYNC1I2,1.0
BET1,INS,1.0
BET1,NSF,1.0
BET1,KDELR3,1.0
BET1,RAB1A,1.0
BET1,COG6,1.0
BET1,CAPZB,1.0
BET1,COPG2,1.0
BET1,TMED7,1.0
BET1,DCTN2,1.0
BET1,DCTN4,1.0
BET1,GOLGA2,1.0
BET1,ARFGAP2,1.0
BET1,ARF1,1.0
BET1,USO1,1.0
BET1,COPZ1,1.0
BET1,SPTB,1.0
BET1,DYNLL2,1.0
BET1,COPZ2,1.0
BET1,NAPB,1.0
BET1,STX18,1.0
BET1,SEC22B,1.0
BET1,SEC24D,1.0
BET1,SEC23A,1.0
BET1,SEC24C,1.0
BET1,SEC13,1.0
BET1,SEC31A,1.0
BET1,SEC24A,1.0
BET1,SEC24B,1.0
BET1,TRAPPC6A,1.0
BET1,CNIH1,1.0
BET1,CTSZ,1.0
BET1,CTSC,1.0
BET1,LMAN1,1.0
BET1,STX17,1.0
BET1,SEC22C,1.0
BET1,CNIH3,1.0
BET1,TRAPPC10,1.0
BET1,TGFA,1.0
BET1,TRAPPC2L,1.0
BET1,TRAPPC1,1.0
BET1,LMAN2,1.0
BET1,CNIH2,1.0
BET1,LMAN1L,1.0
BET1,SEC22A,1.0
BET1,TRAPPC6B,1.0
BET1,COL7A1,1.0
BET1,F8,1.0
BET1,F5,1.0
BET1,SEC23IP,1.0
BET1,LMAN2L,1.0
BET1,TRAPPC9,1.0
BET1,AREG,1.0
BET1,MCFD2,1.0
BET1,SCFD1,1.0
BET1,TRAPPC2,1.0
BET1,SERPINA1,1.0
BET1,GRIA1,1.0
BET1,TRAPPC4,1.0
BET1,TRAPPC5,1.0
BET1,TRAPPC3,1.0
BET1,STX6,1.0
BET1,VTI1B,1.0
YKT6,GOSR2,1.0
YKT6,GOSR1,1.0
YKT6,COPB1,1.0
YKT6,ACTR10,1.0
YKT6,ARF3,1.0
YKT6,DYNC1LI2,1.0
YKT6,COG3,1.0
YKT6,KDELR2,1.0
YKT6,DCTN3,1.0
YKT6,TMED2,1.0
YKT6,COPE,1.0
YKT6,CAPZA1,1.0
YKT6,ARFGAP3,1.0
YKT6,NAPA,1.0
YKT6,SPTBN4,1.0
YKT6,ARCN1,1.0
YKT6,ANK1,1.0
YKT6,TMEM115,1.0
YKT6,DYNC1LI1,1.0
YKT6,ANK3,1.0
YKT6,STX5,1.0
YKT6,COG5,1.0
YKT6,TMED3,1.0
YKT6,COG1,1.0
YKT6,DCTN5,1.0
YKT6,TMED10,1.0
YKT6,COG7,1.0
YKT6,COG8,1.0
YKT6,ARF4,1.0
YKT6,RAB1B,1.0
YKT6,GORASP1,1.0
YKT6,ARFGAP1,1.0
YKT6,COG4,1.0
YKT6,SPTBN5,1.0
YKT6,DYNC1I1,1.0
YKT6,NAPG,1.0
YKT6,COPG1,1.0
YKT6,CAPZA3,1.0
YKT6,COPB2,1.0
YKT6,KDELR1,1.0
YKT6,TMED9,1.0
YKT6,DYNC1H1,1.0
YKT6,SPTBN1,1.0
YKT6,ANK2,1.0
YKT6,DCTN1,1.0
YKT6,CAPZA2,1.0
YKT6,COG2,1.0
YKT6,CD55,1.0
YKT6,COPA,1.0
YKT6,SPTA1,1.0
YKT6,ACTR1A,1.0
YKT6,GBF1,1.0
YKT6,SPTAN1,1.0
YKT6,BET1L,1.0
YKT6,DYNLL1,1.0
YKT6,GOLGB1,1.0
YKT6,FOLR1,1.0
YKT6,CD59,1.0
YKT6,DYNC1I2,1.0
YKT6,INS,1.0
YKT6,NSF,1.0
YKT6,KDELR3,1.0
YKT6,RAB1A,1.0
YKT6,COG6,1.0
YKT6,CAPZB,1.0
YKT6,COPG2,1.0
YKT6,TMED7,1.0
YKT6,DCTN2,1.0
YKT6,DCTN4,1.0
YKT6,GOLGA2,1.0
YKT6,ARFGAP2,1.0
YKT6,ARF1,1.0
YKT6,USO1,1.0
YKT6,COPZ1,1.0
YKT6,SPTB,1.0
YKT6,DYNLL2,1.0
YKT6,COPZ2,1.0
YKT6,NAPB,1.0
YKT6,USE1,1.0
YKT6,STX18,1.0
YKT6,SEC22B,1.0
YKT6,SEC24D,1.0
YKT6,SEC23A,1.0
YKT6,SEC24C,1.0
YKT6,SEC13,1.0
YKT6,SEC31A,1.0
YKT6,SEC24A,1.0
YKT6,SEC24B,1.0
YKT6,CLTA,1.0
YKT6,EREG,1.0
YKT6,CLTB,1.0
YKT6,TRAPPC6A,1.0
YKT6,CNIH1,1.0
YKT6,CTSZ,1.0
YKT6,CTSC,1.0
YKT6,TFG,1.0
YKT6,LMAN1,1.0
YKT6,STX17,1.0
YKT6,SEC22C,1.0
YKT6,CNIH3,1.0
YKT6,TRAPPC10,1.0
YKT6,TGFA,1.0
YKT6,TRAPPC2L,1.0
YKT6,TRAPPC1,1.0
YKT6,LMAN2,1.0
YKT6,RAB33B,1.0
YKT6,SEC16B,1.0
YKT6,CNIH2,1.0
YKT6,LMAN1L,1.0
YKT6,SEC22A,1.0
YKT6,CSNK1D,1.0
YKT6,SEC16A,1.0
YKT6,TRAPPC6B,1.0
YKT6,COL7A1,1.0
YKT6,F8,1.0
YKT6,F5,1.0
YKT6,SEC23IP,1.0
YKT6,LMAN2L,1.0
YKT6,TRAPPC9,1.0
YKT6,AREG,1.0
YKT6,SAR1B,1.0
YKT6,MCFD2,1.0
YKT6,SCFD1,1.0
YKT6,TRAPPC2,1.0
YKT6,SERPINA1,1.0
YKT6,GRIA1,1.0
YKT6,TRAPPC4,1.0
YKT6,TRAPPC5,1.0
