u,v,weight
ABI2,CLK1,1.0
ABI2,CPNE3,1.0
ABI2,CSK,1.0
ABI2,CSNK1D,1.0
ABI2,CSNK1E,1.0
ABI2,CSNK1G1,1.0
ABI2,CSNK1G2,1.0
ABI2,CSNK1G3,1.0
ABI2,CSNK2A2,1.0
ABI2,DDR1,1.0
ABI2,DDR2,1.0
ABI2,DUSP21,1.0
ABI2,DYRK1B,1.0
ABI2,DYRK2,1.0
ABI2,DYRK4,1.0
ABI2,EEF2K,1.0
ABI2,EFNB3,1.0
ABI2,EGR1,1.0
ABI2,EIF2AK1,1.0
ABI2,EPHA3,1.0
ABI2,EPHA4,1.0
ABI2,EPHA7,1.0
ABI2,FASTK,1.0
ABI2,FES,1.0
ABI2,FGR,1.0
ABI2,FLJ25006,1.0
ABI2,GAK,1.0
ABI2,GRK5,1.0
ABI2,GSK3A,1.0
ABI2,GSK3B,1.0
ABI2,GTF2H1,1.0
ABI2,HIPK4,1.0
ABI2,IFT20,1.0
ABI2,IRAK3,1.0
ABI2,JAK2,1.0
ABI2,KRT15,1.0
ABI2,KRT19,1.0
ABI2,KRT20,1.0
ABI2,LATS1,1.0
ABI2,LCK,1.0
ABI2,LYK5,1.0
ABI2,MAP2K5,1.0
ABI2,MAP3K11,1.0
ABI2,MAP3K13,1.0
ABI2,MAP3K14,1.0
ABI2,MAP3K7,1.0
ABI2,MAP4K2,1.0
ABI2,MAPK1,1.0
ABI2,MAPK10,1.0
ABI2,MAPK7,1.0
ABI2,MAPK9,1.0
ABI2,MAPKAPK5,1.0
ABI2,MAST1,1.0
ABI2,MET,1.0
ABI2,MGC16169,1.0
ABI2,MOS,1.0
ABI2,NCK2,1.0
ABI2,NEK10,1.0
ABI2,NEK3,1.0
ABI2,NPR2,1.0
ABI2,NRBP1,1.0
ABI2,NRP1,1.0
ABI2,NRP2,1.0
ABI2,NUAK1,1.0
ABI2,PACSIN1,1.0
ABI2,PAK1,1.0
ABI2,PAK4,1.0
ABI2,PAK6,1.0
ABI2,PCM1,1.0
ABI2,PCTK3,1.0
ABI2,PDGFRA,1.0
ABI2,PDIK1L,1.0
ABI2,PDPK1,1.0
ABI2,PIK3C3,1.0
ABI2,PIM1,1.0
ABI2,PIM2,1.0
ABI2,PIM3,1.0
ABI2,PKN1,1.0
ABI2,PLK2,1.0
ABI2,PLK3,1.0
ABI2,PRKACA,1.0
ABI2,PRKACB,1.0
ABI2,PRKACG,1.0
ABI2,PRKCH,1.0
ABI2,PRKCI,1.0
ABI2,PRKCQ,1.0
ABI2,PRKCZ,1.0
ABI2,PRKD2,1.0
ABI2,PRKY,1.0
ABI2,PTK6,1.0
ABI2,RET,1.0
ABI2,RIOK1,1.0
ABI2,RPS1KL1,1.0
ABI2,RPS6KA2,1.0
ABI2,RPS6KA3,1.0
ABI2,RPS6KA4,1.0
ABI2,RPS6KA6,1.0
ABI2,RPS6KB1,1.0
ABI2,SCYL2,1.0
ABI2,SGK3,1.0
ABI2,SH3KBP1,1.0
ABI2,SKAP1,1.0
ABI2,SNAP23,1.0
ABI2,SRPK1,1.0
ABI2,SRPK2,1.0
ABI2,STK10,1.0
ABI2,STK16,1.0
ABI2,STK17A,1.0
ABI2,STK38,1.0
ABI2,STK38L,1.0
ABI2,STK4,1.0
ABI2,STK40,1.0
ABI2,STYK1,1.0
ABI2,SYK,1.0
ABI2,TAF1,1.0
ABI2,TBK1,1.0
ABI2,TBRG4,1.0
ABI2,TNIK,1.0
ABI2,TNK2,1.0
ABI2,TNNI3K,1.0
ABI2,TP53RK,1.0
ABI2,TRIM27,1.0
ABI2,TRIM32,1.0
ABI2,TSSK6,1.0
ABI2,TTK,1.0
ABI2,TYRO3,1.0
ABI2,UBC,1.0
ABI2,UHMK1,1.0
ABI2,VCL,1.0
ABI2,VRK3,1.0
ABI2,WEE1,1.0
ABI2,WIF1,1.0
ABI2,YES1,1.0
ABI2,ZAP70,1.0
ABI3,ABI3BP,1.0
ABI3,CEP170L,1.0
ABI3,DTNBP1,1.0
ABI3,EBF1,1.0
ABI3,EIF3H,1.0
ABI3,HOMER1,1.0
ABI3,KIAA0408,1.0
ABI3,KIAA1712,1.0
ABI3,KRT15,1.0
ABI3,PAK1,1.0
ABI3,PAK2,1.0
ABI3,RUNX1T1,1.0
ABI3,SNAP23,1.0
ABI3,TMEM147,1.0
ABI3BP,GRB2,1.0
ABI3BP,MYC,1.0
ABL1,ABL2,1.0
ABL1,ARHGAP17,1.0
ABL1,ATF3,1.0
ABL1,ATM,1.0
ABL1,ATR,1.0
ABL1,BCAR1,1.0
ABL1,BCL3,1.0
ABL1,BCR,1.0
ABL1,BDP1,1.0
ABL1,BRCA1,1.0
ABL1,BRF1,1.0
ABL1,BRF2,1.0
ABL1,CABLES2,1.0
ABL1,CAT,1.0
ABL1,CBL,1.0
ABL1,CREB1,1.0
ABL1,CRKL,1.0
ABL1,DOK1,1.0
ABL1,EP300,1.0
ABL1,EPHA3,1.0
ABL1,EPHB2,1.0
ABL1,EVL,1.0
ABL1,FOSL1,1.0
ABL1,GATA2,1.0
ABL1,GPX1,1.0
ABL1,GRB10,1.0
ABL1,GRB2,1.0
ABL1,GTF2F1,1.0
ABL1,HCK,1.0
ABL1,HDAC2,1.0
ABL1,HSP90AA1,1.0
ABL1,HSPA4,1.0
ABL1,INPPL1,1.0
ABL1,IRF1,1.0
ABL1,JAK1,1.0
ABL1,JUN,1.0
ABL1,MAFK,1.0
ABL1,MDM2,1.0
ABL1,MICAL1,1.0
ABL1,MTOR,1.0
ABL1,NCK1,1.0
ABL1,NCOA3,1.0
ABL1,NEDD9,1.0
ABL1,NFKBIA,1.0
ABL1,NR2C2,1.0
ABL1,NRF1,1.0
ABL1,NTRK1,1.0
ABL1,PAG1,1.0
ABL1,PAK2,1.0
ABL1,PARK2,1.0
ABL1,PIK3R1,1.0
ABL1,PLCG1,1.0
ABL1,PRKDC,1.0
